Feed water,pH,Temp,NH4,K,Na,Mg,Ca,Sr,Ba,Co3,HCo3,No3,F,Cl,Br,So4,Po4,SiO2,Vessel,Elements,Recovery(%),Active Area(m2),Energy(kWh/m3),Concentrate flow(m3/h),permeate flow(m3/h),Pressure(bar),NH4,K,Na,Mg,Ca,Sr,Ba,Co3,HCo3,No3,F,Cl,Br,So4,Po4,SiO2,TDS,,
89,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,12,6,45,2676,4.19,48.9,40.1,54.2,0,2.65,62.77,1.76,0.54,0,0,0,0,0,0,104,0.54,1.47,0,0.05,35024,,
88,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,12,6,45,2676,4.18,48.3,39.6,54,0,2.68,63.47,1.78,0.55,0,0,0,0,0,0,105.1,0.55,1.49,0,0.05,35024,,
87,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,12,6,44,2676,4.18,48.7,38.3,52.8,0,2.73,64.67,1.81,0.56,0,0,0,0,0,0,107.1,0.56,1.51,0,0.05,35024,, 
86,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,12,6,44,2676,4.17,48.1,37.8,52.7,0,2.76,65.41,1.83,0.56,0,0,0,0,0,0,108.3,0.56,1.53,0,0.05,35024,,
85,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,12,6,44,2676,4.16,47.5,37.4,52.5,0,2.79,66.16,1.85,0.57,0,0,0,0,0,0,109.6,0.57,1.55,0,0.05,35024,,
84,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,12,6,44,2676,4.14,47,37,52.4,0,2.83,66.93,1.87,0.58,0,0,0,0,0,0,110.9,0.57,1.56,0,0.05,35024,,
83,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,12,6,44,2676,4.13,46.4,36.5,52.2,0,2.86,67.72,1.9,0.59,0,0,0,0,0,0,112.2,0.58,1.58,0,0.05,35024,,
82,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,12,6,44,2676,4.12,45.9,36.1,52.1,0,2.9,68.54,1.92,0.59,0,0,0,0,0,0,113.5,0.59,1.6,0,0.05,35024,,
81,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,12,6,43.5,2676,4.11,45.7,35.2,51.4,0,2.94,69.65,1.95,0.6,0,0,0,0,0,0,115.4,0.6,1.62,0,0.05,35024,,
80,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,12,6,43.5,2676,4.1,45.1,34.8,51.3,0,2.98,70.5,1.97,0.61,0,0,0,0,0,0,116.8,0.61,1.64,0,0.05,35024,,
79,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,12,6,43.5,2676,4.09,44.6,34.4,51.1,0,3.02,71.36,1.99,0.62,0,0,0,0,0,0,118.2,0.61,1.66,0,0.05,35024,,
78,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,12,6,43,2676,4.09,44.4,33.5,50.5,0,3.07,72.59,2.03,0.63,0,0,0,0,0,0,120.2,0.62,1.69,0,0.05,35024,,
77,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,12,6,43,2676,4.08,43.8,33.1,50.3,0,3.11,73.51,2.05,0.63,0,0,0,0,0,0,121.8,0.63,1.71,0,0.05,35024,,
76,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,12,6,43,2676,4.06,43.3,33.7,50.2,0,3.15,74.47,2.08,0.64,0,0,0,0,0,0,123.3,0.64,1.73,0,0.05,35024,,
75,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,12,6,42.5,2676,4.06,43.1,31.9,49.6,0,3.21,75.78,2.11,0.65,0,0,0,0,0,0,125.5,0.65,1.76,0,0.06,35024,,
74,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,12,6,42,2676,4.06,42.9,31.1,49,0,3.27,77.14,2.15,0.66,0,0,0,0,0,0,127.8,0.66,1.79,0,0.06,35024,,
73,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,12,6,42,2676,4.05,42.3,30.7,48.9,0,3.31,78.18,2.18,0.67,0,0,0,0,0,0,129.5,0.67,1.81,0,0.06,35024,,
72,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,12,6,42,2676,4.04,41.7,30.2,48,0,3.36,79.25,2.21,0.68,0,0,0,0,0,0,131.3,0.68,1.84,0,0.06,35024,,
71,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,12,6,42,2676,4.03,41.1,29.8,48.6,0,3.41,80.35,2.24,0.69,0,0,0,0,0,0,133.1,0.69,1.86,0,0.06,35024,,
70,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,12,6,42.5,2230,4.17,40.2,29.8,50.9,0,2.87,67.79,1.89,0.59,0,0,0,0,0,0,112.3,0.58,1.58,0,0.05,35024,,
69,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,10,6,42,2230,4.17,40,29,50.3,0,2.92,69.08,1.93,0.6,0,0,0,0,0,0,114.4,0.59,1.61,0,0.05,35024,,
68,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,10,6,42,2230,4.15,39.4,28.6,50.1,0,2.97,70.07,1.95,0.6,0,0,0,0,0,0,116.1,0.6,1.63,0,0.05,35024,,
67,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,10,6,42,2230,4.14,38.8,28.1,49.9,0,3.01,71.1,1.98,0.61,0,0,0,0,0,0,117.8,0.61,1.65,0,0.05,35024,,
66,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,10,6,42,2230,4.12,38.2,27.7,49.8,0,3.05,72.16,2.01,0.62,0,0,0,0,0,0,119.5,0.62,1.68,0,0.05,35024,,
65,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,10,6,42.5,2230,4.11,37.7,27.3,49.6,0,3.1,73.25,2.04,0.63,0,0,0,0,0,0,121.3,0.63,1.7,0,0.05,35024,,
64,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,10,6,42,2230,4.9,37.1,26.9,49.4,0,3.15,74.37,2.07,0.64,0,0,0,0,0,0,123.2,0.64,1.73,0,0.05,35024,,
63,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,10,6,42,2230,4.08,36.5,26.5,49.2,0,3.2,75.53,2.1,0.65,0,0,0,0,0,0,125.1,0.65,1.76,0,0.06,35024,,
62,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,10,6,42,2230,4.07,35.9,26,49.1,0,3.25,76.73,2.14,0.66,0,0,0,0,0,0,127.1,0.66,1.78,0,0.06,35024,,
61,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,10,6,42,2230,4.05,35.3,25.6,48.9,0,3.3,77.97,2.17,0.67,0,0,0,0,0,0,129.1,0.67,1.81,0,0.06,35024,,
60,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,8,6,42,2230,4.4,34.8,25.2,48.7,0,3.36,79.25,2.21,0.68,0,0,0,0,0,0,131.3,0.68,1.84,0,0.06,35024,,
59,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,8,6,42,1784,4.24,34.2,24.8,51.1,0,2.74,64.72,1.81,0.56,0,0,0,0,0,0,107.2,0.56,1.51,0,0.05,35024,,
58,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,8,6,42,1784,4.22,33.6,24.4,50.9,0,2.78,65.81,1.84,0.57,0,0,0,0,0,0,109,0.57,1.53,0,0.05,35024,,
57,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,8,6,42,1784,4.2,33,23.9,50.7,0,2.83,66.94,1.87,0.58,0,0,0,0,0,0,110.9,0.57,1.56,0,0.05,35024,,
56,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,8,6,42,1784,4.18,32.4,23.5,50.5,0,2.88,68.11,1.9,0.59,0,0,0,0,0,0,112.8,0.58,1.59,0,0.05,35024,,
55,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,8,6,42,1784,4.16,31.9,23.1,50.2,0,2.93,69.32,1.93,0.6,0,0,0,0,0,0,114.8,0.6,1.61,0,0.05,35024,,
54,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,8,6,42,1784,4.15,31.3,22.7,50,0,2.99,70.58,1.97,0.61,0,0,0,0,0,0,116.9,0.61,1.64,0,0.05,35024,,
53,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,8,6,42,1784,4.13,30.7,22.3,49.8,0,3.04,71.89,2,0.62,0,0,0,0,0,0,119.1,0.62,1.67,0,0.05,35024,,
52,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,8,6,42,1784,4.11,30.1,21.8,49.6,0,3.1,73.25,2.04,0.63,0,0,0,0,0,0,121.3,0.63,1.7,0,0.05,35024,,
51,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,8,6,42,1784,4.09,29.5,21.4,50.9,0,3.16,74.66,2.08,0.64,0,0,0,0,0,0,123.6,0.64,1.73,0,0.05,35024,,
50,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,8,6,42,1784,4.07,29,21,49.1,0,3.23,76.13,2.12,0.66,0,0,0,0,0,0,126.1,0.65,1.77,0,0.06,35024,,
49,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,8,6,42,1784,4.05,28.4,20.6,48.9,0,3.29,77.66,2.16,0.67,0,0,0,0,0,0,128.6,0.67,1.8,0,0.06,35024,,
48,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,8,6,42,1784,4.04,27.8,20.2,48.7,0,3.36,79.25,2.21,0.68,0,0,0,0,0,0,131.3,0.68,1.84,0,0.06,35024,,
47,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,8,6,42,1784,4.02,27.2,19.7,48.5,0,3.43,80.91,2.25,0.7,0,0,0,0,0,0,134,0.69,1.87,0,0.06,35024,,
46,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,8,6,42,1784,4,26.7,19.3,45.9,0,3.51,82.65,2.3,0.71,0,0,0,0,0,0,136.9,0.71,1.91,0,0.06,35024,,
45,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,8,6,42,1338,4.26,26.1,18.9,51.4,0,2.69,63.67,1.78,0.55,0,0,0,0,0,0,105.4,0.55,1.49,0,0.05,35024,,
44,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,6,6,42,1338,4.23,25.5,18.5,51.1,0,2.75,65.08,1.82,0.56,0,0,0,0,0,0,107.8,0.56,1.52,0,0.05,35024,,
43,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,6,6,42,1338,4.21,24.9,18.1,50.8,0,2.81,66.56,1.89,0.57,0,0,0,0,0,0,110.2,0.57,1.55,0,0.05,35024,,
42,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,6,6,42,1338,4.18,24.3,17.6,50.5,0,2.88,68.11,1.9,0.59,0,0,0,0,0,0,112.8,0.58,1.59,0,0.05,35024,,
41,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,6,6,42,1338,4.16,23.8,17.2,50.2,0,2.95,69.74,1.95,0.6,0,0,0,0,0,0,115.5,0.6,1.62,0,0.05,35024,,
40,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,6,6,42,1338,4.13,23.2,16.8,49.9,0,3.02,71.45,1.99,0.62,0,0,0,0,0,0,118.3,0.61,1.66,0,0.05,35024,,
39,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,6,6,42,1338,4.11,22.6,16.4,49.6,0,3.1,73.25,2.04,0.63,0,0,0,0,0,0,121.3,0.63,1.7,0,0.05,35024,,
38,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,6,6,42,1338,4.08,22,16,49.3,0,3.18,75.14,2.09,0.65,0,0,0,0,0,0,124.4,0.64,1.74,0,0.06,35024,,
37,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,6,6,42,1338,4.06,21.4,15.5,49,0,3.27,77.14,2.15,0.66,0,0,0,0,0,0,127.8,0.66,1.79,0,0.06,35024,,
36,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,6,6,42,1338,4.04,20.9,15.1,48.7,0,3.36,79.25,2.21,0.68,0,0,0,0,0,0,131.3,0.68,1.84,0,0.06,35024,,
35,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,5,6,42,1115,4.18,20.3,14.7,50.5,0,2.88,68.11,1.9,0.59,0,0,0,0,0,0,112.3,0.58,1.59,0,0.05,35024,,
34,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,5,6,42,1115,4.15,19.7,14.3,50.1,0,2.97,70.07,1.95,0.6,0,0,0,0,0,0,116.1,0.6,1.63,0,0.05,35024,,
33,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,5,6,42,1115,4.12,19.1,13.9,49.8,0,3.05,72.16,2.01,0.62,0,0,0,0,0,0,119.5,0.62,1.68,0,0.05,35024,,
32,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,5,6,42,1115,4.09,18.5,13.4,49.4,0,3.15,74.37,2.07,2.07,0,0,0,0,0,0,123.2,0.64,1.73,0,0.05,35024,,
31,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,5,6,42,1115,4.07,18,13,49.1,0,3.25,76.73,2.14,0.66,0,0,0,0,0,0,127.1,0.66,1.78,0,0.06,35024,,
30,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,5,6,42,1115,4.04,17.4,12.6,48.7,0,3.36,79.25,2.21,0.68,0,0,0,0,0,0,131.3,0.68,1.84,0,0.06,35024,,
29,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,4,6,42,892,4.22,16.8,12.2,50.9,0,2.78,65.81,1.84,0.57,0,0,0,0,0,0,109,0.57,1.53,0,0.05,35024,,
28,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,4,6,42,892,4.18,16.2,11.8,50.5,0,2.88,68.11,1.9,0.59,0,0,0,0,0,0,112.8,0.58,1.59,0,0.05,35024,,
27,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,4,6,42,892,4.14,15.6,11.3,50,0,2.99,70.58,1.97,0.61,0,0,0,0,0,0,116.9,0.61,1.64,0,0.05,35024,,
26,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,4,6,42,892,4.11,15.1,10.9,49.6,0,3.1,73.25,2.04,0.63,0,0,0,0,0,0,121.3,0.63,1.7,0,0.05,35024,,
25,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,4,6,42,892,4.07,14.5,10.5,49.1,0,3.23,76.13,2.12,0.66,0,0,0,0,0,0,126.1,0.65,1.77,0,0.06,35024,,
24,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,4,6,42,892,4.04,13.9,10.1,48.7,0,3.36,79.25,2.21,0.68,0,0,0,0,0,0,131.3,0.68,1.84,0,0.06,35024,,
23,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,3,4,37,446,5.12,14.5,8.51,54.4,0,1.92,45.92,1.31,0.4,0,0,0,0,0,0,76.08,0.4,1.1,0,0.03,35024,,
22,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,3,4,37,446,5.03,13.8,8.14,53.5,0,2,47.87,1.36,0.42,0,0,0,0,0,0,79.32,0.41,1.14,0,0.03,35024,,
21,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,3,4,37,446,4.95,13.2,7.77,52.6,0,2.09,50.01,1.42,0.44,0,0,0,0,0,0,82.86,0.43,1.19,0,0.04,35024,,
20,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,3,4,36,446,4.91,12.8,7.2,50.8,0,2.23,53.09,1.5,0.46,0,0,0,0,0,0,87.95,0.46,1.26,0,0.04,35024,,
19,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,3,4,36,446,4.83,12.1,6.84,49.9,0,2.34,55.73,1.57,0.48,0,0,0,0,0,0,92.32,0.48,1.32,0,0.04,35024,,
18,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,3,4,35,446,4.8,11.7,6.3,48.2,0,2.51,59.54,1.67,0.52,0,0,0,0,0,0,98.62,0.51,1.4,0,0.04,35024,,
17,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,3,4,35,446,4.72,11,5.95,47.4,0,2.65,6.87,1.76,0.54,0,0,0,0,0,0,104.1,0.54,1.47,0,0.05,35024,,
16,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,3,4,34,446,4.69,10.5,5.44,45.8,0,2.86,67.67,1.89,0.58,0,0,0,0,0,0,112.1,0.58,1.58,0,0.05,35024,,
15,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,3,4,31,446,4.8,10.3,4.65,42.8,0,3.22,75.97,2.11,0.65,0,0,0,0,0,0,125.8,0.65,1.76,0,0.06,35024,,
14,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,3,4,25,446,5.29,10.5,3.5,38,0,4,93.6,2.58,0.8,0,0,0,0,0,0,155,0.8,2.14,0,0.07,35024,,
13,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,3,4,20,446,6,10.4,2.6,34.5,0,5.09,118.7,3.24,1.01,0,0,0,0,0,0,196.5,1.02,2.68,0,0.09,35024,,
12,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,3,4,14,446,7,10.3,1.68,30.9,0,7.39,171.4,4.66,1.45,0,0,0,0,0,0,283.7,1.46,3.84,0,0.13,35024,,
11,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,2,3,14,223,7,9.45,1.54,34,0,4.12,96.09,2.62,0.82,0,0,0,0,0,0,159.1,0.82,2.17,0,0.07,35024,,
10,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,2,3,14,223,8.3,8.59,1.4,33.4,0,4.52,105.3,2.87,0.9,0,0,0,0,0,0,174.4,0.9,2.37,0,0.08,35024,,
9,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,2,3,14,223,8.16,7.73,1.26,32.8,0,5.01,116.6,3.18,0.99,0,0,0,0,0,0,193,1,2.62,0,0.09,35024,,
8,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,2,3,14,223,8.01,6.87,1.12,32.2,0,5.62,130.6,3.56,1.11,0,0,0,0,0,0,216.2,1.12,2.94,0,0.1,35024,,
7,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,1,2,14,223,9.98,6.01,0.98,40.1,0,2.24,52.75,1.47,0.45,0,0,0,0,0,0,87.35,0.45,1.22,0,0.04,35024,,
6,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,1,2,14,223,9.55,5.15,0.84,38.4,0,2.59,61.01,1.69,0.52,0,0,0,0,0,0,101,0.52,1.4,0,0.05,35024,,
5,7,25,0,395.2,10746,1295,407.2,0,0,0,0,0,0,19401,67.14,2708,0,5.01,1,2,14,223,9.11,4.29,7,36.7,0,3.09,72.51,2,0.62,0,0,0,0,0,0,120.1,0.62,1.66,0,0.05,35024,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
